Year,Rank,Name,Prize Money,Players/Tournaments
1998,1.,United States,"$133,250.00",53 Players
1998,2.,Canada,"$12,400.00",4 Players
1998,3.,United Kingdom,$300.00,1 Player
1998,4.,Sweden,$150.00,1 Player
1999,1.,United States,"$123,761.09",28 Players
1999,2.,"Korea, Republic of","$82,941.68",20 Players
1999,3.,Canada,"$60,416.35",12 Players
1999,4.,United Kingdom,"$11,600.00",3 Players
1999,5.,Sweden,"$3,000.00",3 Players
2000,1.,United States,"$249,063.40",96 Players
2000,2.,"Korea, Republic of","$206,619.75",46 Players
2000,3.,Sweden,"$91,384.14",19 Players
2000,4.,Canada,"$37,427.49",16 Players
2000,5.,United Kingdom,"$21,252.70",7 Players
2000,6.,Russian Federation,"$15,777.99",5 Players
2000,7.,"Taiwan, Republic of China","$15,000.00",1 Player
2000,8.,Germany,"$10,731.33",21 Players
2000,9.,Norway,"$9,280.86",2 Players
2000,10.,Denmark,"$7,930.39",9 Players
2000,11.,Hong Kong,"$7,692.00",3 Players
2000,12.,Netherlands,"$6,087.63",2 Players
2000,13.,Australia,"$4,556.80",5 Players
2000,14.,Finland,"$2,190.84",6 Players
2000,15.,Venezuela,"$1,000.00",1 Player
2000,16.,Hungary,$876.33,2 Players
2000,17.,France,$701.05,5 Players
2000,18.,New Zealand,$500.00,1 Player
2000,19.,Croatia,$438.17,1 Player
2000,20.,Singapore,$400.00,1 Player
2000,21.,South Africa,$365.53,5 Players
2000,22.,Spain,$300.00,1 Player
2000,23.,Northern Mariana Islands,$300.00,1 Player
2001,1.,United States,"$196,572.65",74 Players
2001,2.,"Korea, Republic of","$176,735.95",46 Players
2001,3.,Sweden,"$97,170.85",33 Players
2001,4.,Germany,"$77,020.45",44 Players
2001,5.,Russian Federation,"$70,230.48",34 Players
2001,6.,Canada,"$56,847.16",26 Players
2001,7.,"Taiwan, Republic of China","$40,500.00",3 Players
2001,8.,France,"$28,175.56",35 Players
2001,9.,Denmark,"$18,099.14",12 Players
2001,10.,China,"$17,000.00",5 Players
2001,11.,Italy,"$16,525.00",6 Players
2001,12.,Norway,"$15,882.21",8 Players
2001,13.,Finland,"$15,110.55",20 Players
2001,14.,United Kingdom,"$9,913.59",11 Players
2001,15.,Netherlands,"$9,795.37",7 Players
2001,16.,Kazakhstan,"$7,500.00",8 Players
2001,17.,Australia,"$5,985.30",4 Players
2001,18.,Austria,"$5,600.00",4 Players
2001,19.,Hong Kong,"$5,000.00",1 Player
2001,20.,Japan,"$3,000.00",4 Players
2001,21.,Brazil,"$2,539.67",7 Players
2001,22.,Singapore,"$2,000.00",6 Players
2001,23.,Argentina,$955.84,3 Players
2001,24.,Belgium,$756.97,2 Players
2001,25.,Switzerland,$625.00,1 Player
2001,26.,Malaysia,$150.00,1 Player
2001,27.,Ireland,$131.97,1 Player
2001,28.,Greece,$75.00,1 Player
2001,29.,Lithuania,$50.00,1 Player
2002,1.,"Korea, Republic of","$188,213.44",49 Players
2002,2.,United States,"$176,229.30",183 Players
2002,3.,Germany,"$121,587.86",68 Players
2002,4.,Russian Federation,"$119,991.22",45 Players
2002,5.,Sweden,"$104,950.36",58 Players
2002,6.,Canada,"$63,866.68",30 Players
2002,7.,France,"$30,619.97",16 Players
2002,8.,Norway,"$28,235.00",10 Players
2002,9.,Japan,"$26,500.00",4 Players
2002,10.,United Kingdom,"$24,886.70",10 Players
2002,11.,Netherlands,"$14,083.33",8 Players
2002,12.,"Taiwan, Republic of China","$11,000.00",2 Players
2002,13.,China,"$10,400.00",7 Players
2002,14.,Spain,"$10,300.00",2 Players
2002,15.,Denmark,"$7,114.06",18 Players
2002,16.,Austria,"$5,093.89",4 Players
2002,17.,Poland,"$5,033.33",2 Players
2002,18.,New Zealand,"$5,000.00",1 Player
2002,19.,Italy,"$4,500.00",1 Player
2002,20.,Finland,"$4,244.80",6 Players
2002,21.,Czech Republic,"$3,642.00",8 Players
2002,22.,Brazil,"$3,536.60",21 Players
2002,23.,Kazakhstan,"$3,500.00",10 Players
2002,24.,Argentina,"$3,400.00",2 Players
2002,25.,Australia,"$3,250.00",6 Players
2002,26.,Hong Kong,"$1,750.00",1 Player
2002,27.,Ukraine,"$1,750.00",1 Player
2002,28.,Viet Nam,"$1,589.83",1 Player
2002,29.,Chile,"$1,500.00",8 Players
2002,30.,Singapore,"$1,250.00",5 Players
2002,31.,Portugal,"$1,000.00",1 Player
2002,32.,South Africa,"$1,000.00",1 Player
2002,33.,Lithuania,$600.00,1 Player
2002,34.,Malaysia,$473.40,3 Players
2002,35.,Israel,$300.00,1 Player
2002,36.,Serbia,$300.00,1 Player
2002,37.,Jamaica,$83.33,1 Player
2002,38.,Bulgaria,$50.00,1 Player
2003,1.,Sweden,"$397,386.92",108 Players
2003,2.,"Korea, Republic of","$333,406.37",99 Players
2003,3.,United States,"$274,974.26",192 Players
2003,4.,Germany,"$240,014.77",67 Players
2003,5.,Norway,"$73,150.51",8 Players
2003,6.,Russian Federation,"$62,371.14",109 Players
2003,7.,"Taiwan, Republic of China","$50,273.98",6 Players
2003,8.,France,"$46,654.67",33 Players
2003,9.,Netherlands,"$43,592.42",15 Players
2003,10.,United Kingdom,"$40,658.36",25 Players
2003,11.,Bulgaria,"$37,558.38",7 Players
2003,12.,China,"$33,150.00",21 Players
2003,13.,Spain,"$30,122.92",29 Players
2003,14.,Canada,"$28,991.71",16 Players
2003,15.,Denmark,"$25,393.92",31 Players
2003,16.,Italy,"$23,892.18",4 Players
2003,17.,Finland,"$16,002.51",18 Players
2003,18.,Austria,"$15,658.35",6 Players
2003,19.,Brazil,"$14,375.50",16 Players
2003,20.,Kazakhstan,"$13,380.00",15 Players
2003,21.,Poland,"$10,830.38",10 Players
2003,22.,Ukraine,"$7,494.05",44 Players
2003,23.,Czech Republic,"$5,343.80",13 Players
2003,24.,Romania,"$5,287.18",1 Player
2003,25.,Japan,"$5,057.21",14 Players
2003,26.,Australia,"$5,030.00",2 Players
2003,27.,United Arab Emirates,"$5,000.00",4 Players
2003,28.,Argentina,"$4,130.00",2 Players
2003,29.,Singapore,"$3,024.92",7 Players
2003,30.,Belarus,"$2,869.55",22 Players
2003,31.,Serbia,"$2,300.00",1 Player
2003,32.,Belgium,"$1,507.14",3 Players
2003,33.,Iceland,"$1,500.00",5 Players
2003,34.,Lithuania,"$1,400.00",1 Player
2003,35.,Hong Kong,"$1,195.36",1 Player
2003,36.,Israel,$650.00,1 Player
2003,37.,Greece,$431.00,1 Player
2003,38.,Hungary,$368.22,1 Player
2003,39.,Viet Nam,$327.77,1 Player
2003,40.,Croatia,$240.62,1 Player
2003,41.,Portugal,$210.00,1 Player
2003,42.,Ireland,$100.02,1 Player
2003,43.,Mexico,$100.00,1 Player
2003,44.,Estonia,$50.00,1 Player
2004,1.,"Korea, Republic of","$805,603.73",226 Players
2004,2.,United States,"$460,470.17",244 Players
2004,3.,Sweden,"$324,920.22",117 Players
2004,4.,Germany,"$286,447.24",96 Players
2004,5.,China,"$192,627.92",104 Players
2004,6.,Russian Federation,"$158,388.34",151 Players
2004,7.,Netherlands,"$124,638.74",10 Players
2004,8.,Denmark,"$110,907.82",25 Players
2004,9.,Brazil,"$66,358.45",61 Players
2004,10.,France,"$63,487.90",41 Players
2004,11.,Finland,"$55,440.40",42 Players
2004,12.,Norway,"$48,992.54",49 Players
2004,13.,Canada,"$36,791.62",22 Players
2004,14.,Austria,"$33,292.85",17 Players
2004,15.,Singapore,"$16,863.25",9 Players
2004,16.,Bulgaria,"$16,264.26",14 Players
2004,17.,Poland,"$16,019.78",16 Players
2004,18.,United Kingdom,"$14,988.84",16 Players
2004,19.,Venezuela,"$14,300.00",2 Players
2004,20.,Ukraine,"$14,137.75",68 Players
2004,21.,Italy,"$10,680.00",5 Players
2004,22.,Portugal,"$8,928.00",18 Players
2004,23.,Argentina,"$7,128.00",3 Players
2004,24.,Czech Republic,"$7,014.17",17 Players
2004,25.,Spain,"$5,654.34",25 Players
2004,26.,Japan,"$5,278.00",11 Players
2004,27.,Romania,"$3,897.00",6 Players
2004,28.,Croatia,"$3,802.57",1 Player
2004,29.,Kazakhstan,"$3,360.71",3 Players
2004,30.,Belarus,"$2,802.66",9 Players
2004,31.,Hong Kong,"$2,625.00",7 Players
2004,32.,Serbia,"$2,026.50",1 Player
2004,33.,Thailand,"$1,590.22",1 Player
2004,34.,Greece,"$1,571.40",9 Players
2004,35.,Peru,"$1,500.00",2 Players
2004,36.,Israel,"$1,200.00",2 Players
2004,37.,Chile,"$1,000.00",5 Players
2004,38.,Hungary,"$1,000.00",5 Players
2004,39.,Saudi Arabia,"$1,000.00",1 Player
2004,40.,Ireland,$800.00,1 Player
2004,41.,Estonia,$750.00,1 Player
2004,42.,Uruguay,$500.00,1 Player
2004,43.,Slovakia,$470.40,1 Player
2004,44.,Belgium,$400.00,1 Player
2004,45.,Lithuania,$100.00,1 Player
2004,46.,Viet Nam,$100.00,5 Players
2004,47.,"Taiwan, Republic of China",$65.00,3 Players
2004,48.,Slovenia,$50.00,2 Players
2004,49.,Malta,$33.33,1 Player
2004,50.,Bahrain,$25.00,1 Player
2004,51.,"Iran, Islamic Republic of",$20.00,1 Player
2005,1.,United States,"$847,732.98",305 Players
2005,2.,"Korea, Republic of","$841,409.04",100 Players
2005,3.,Germany,"$429,767.92",177 Players
2005,4.,Sweden,"$401,672.14",110 Players
2005,5.,Netherlands,"$271,416.76",17 Players
2005,6.,China,"$221,158.28",79 Players
2005,7.,Italy,"$180,460.23",6 Players
2005,8.,Russian Federation,"$177,811.69",138 Players
2005,9.,Norway,"$136,776.08",56 Players
2005,10.,Canada,"$122,441.67",29 Players
2005,11.,Denmark,"$91,343.60",59 Players
